domain,topology,seed,within_island,between_island,pooled_exact,pooled_reconstructed,pooled_sampled_repro,pooled_published,final_best_fitness,final_mean_fitness
onemax,star_hub_in,3,0.03112163,0.03205920,0.03187470,0.03187470,0.03100000,0.03100000,1.00000000,0.98368000
onemax,star_hub_in,4,0.02966694,0.03019520,0.03009124,0.03009124,0.03200000,0.03200000,1.00000000,0.98468000
onemax,star_hub_in,5,0.02782204,0.02817440,0.02810506,0.02810506,0.02850000,0.02850000,1.00000000,0.98572000
onemax,star_hub_in,6,0.03318531,0.03404240,0.03387373,0.03387373,0.03150000,0.03150000,1.00000000,0.98272000
onemax,star_hub_in,7,0.02689143,0.02727840,0.02720225,0.02720225,0.02550000,0.02550000,1.00000000,0.98620000
onemax,star_hub_in,8,0.03528980,0.03579440,0.03569510,0.03569510,0.03500000,0.03500000,1.00000000,0.98180000
onemax,star_hub_in,9,0.03043592,0.03122800,0.03107213,0.03107213,0.03200000,0.03200000,1.00000000,0.98416000
onemax,star_hub_in,10,0.03325878,0.03385760,0.03373976,0.03373976,0.03000000,0.03000000,1.00000000,0.98276000
onemax,star_hub_in,11,0.02967510,0.03013760,0.03004659,0.03004659,0.02850000,0.02850000,1.00000000,0.98472000
onemax,star_hub_in,12,0.02814857,0.02848480,0.02841863,0.02841863,0.03000000,0.03000000,1.00000000,0.98556000
onemax,star_hub_in,13,0.03244898,0.03295840,0.03285815,0.03285815,0.03450000,0.03450000,1.00000000,0.98324000
onemax,star_hub_in,14,0.03161633,0.03211760,0.03201896,0.03201896,0.03650000,0.03650000,1.00000000,0.98364000
onemax,star_hub_in,15,0.02855020,0.02879040,0.02874313,0.02874313,0.02800000,0.02800000,1.00000000,0.98540000
onemax,star_hub_in,16,0.02788082,0.02816880,0.02811213,0.02811213,0.03050000,0.03050000,1.00000000,0.98572000
onemax,star_hub_in,17,0.02865306,0.02899840,0.02893044,0.02893044,0.03350000,0.03350000,1.00000000,0.98528000
onemax,star_hub_in,18,0.02672327,0.02700320,0.02694811,0.02694811,0.02400000,0.02400000,1.00000000,0.98632000
onemax,star_hub_in,19,0.03076735,0.03109840,0.03103325,0.03103325,0.02650000,0.02650000,1.00000000,0.98420000
onemax,star_hub_in,20,0.02961796,0.03003680,0.02995438,0.02995438,0.03350000,0.03350000,1.00000000,0.98476000
onemax,star_hub_in,21,0.03000653,0.03038160,0.03030779,0.03030779,0.03150000,0.03150000,1.00000000,0.98460000
onemax,star_hub_in,22,0.03222857,0.03276160,0.03265671,0.03265671,0.03250000,0.03250000,1.00000000,0.98336000
onemax,star_hub_in,23,0.02725878,0.02754640,0.02748980,0.02748980,0.03150000,0.03150000,1.00000000,0.98600000
onemax,star_hub_in,24,0.02890612,0.02923760,0.02917237,0.02917237,0.03750000,0.03750000,1.00000000,0.98516000
onemax,star_hub_in,25,0.03104490,0.03161920,0.03150618,0.03150618,0.02800000,0.02800000,1.00000000,0.98396000
onemax,star_hub_in,26,0.03300898,0.03368720,0.03355373,0.03355373,0.02800000,0.02800000,1.00000000,0.98288000
onemax,star_hub_in,27,0.03375673,0.03414560,0.03406908,0.03406908,0.03300000,0.03300000,1.00000000,0.98264000
onemax,star_hub_in,28,0.03223020,0.03274320,0.03264225,0.03264225,0.03100000,0.03100000,1.00000000,0.98332000
onemax,star_hub_in,29,0.03102204,0.03189600,0.03172402,0.03172402,0.03700000,0.03700000,1.00000000,0.98380000
onemax,star_undirected,0,0.02008490,0.02042800,0.02036048,0.02036048,0.02000000,0.02000000,1.00000000,0.98968000
onemax,star_undirected,1,0.02435755,0.02458880,0.02454329,0.02454329,0.02250000,0.02250000,1.00000000,0.98756000
onemax,star_undirected,2,0.02206367,0.02228720,0.02224321,0.02224321,0.02750000,0.02750000,1.00000000,0.98872000
onemax,star_undirected,3,0.02403429,0.02426320,0.02421815,0.02421815,0.02200000,0.02200000,1.00000000,0.98772000
onemax,star_undirected,4,0.02389224,0.02414240,0.02409317,0.02409317,0.02850000,0.02850000,1.00000000,0.98776000
onemax,star_undirected,5,0.02257469,0.02314240,0.02303068,0.02303068,0.02200000,0.02200000,1.00000000,0.98828000
onemax,star_undirected,6,0.02527673,0.02579120,0.02568996,0.02568996,0.02400000,0.02400000,1.00000000,0.98696000
onemax,star_undirected,7,0.02157388,0.02186400,0.02180691,0.02180691,0.02050000,0.02050000,1.00000000,0.98896000
onemax,star_undirected,8,0.02698122,0.02731440,0.02724884,0.02724884,0.02800000,0.02800000,1.00000000,0.98616000
onemax,star_undirected,9,0.02158857,0.02195120,0.02187984,0.02187984,0.01900000,0.01900000,1.00000000,0.98892000
onemax,star_undirected,10,0.02584163,0.02617680,0.02611084,0.02611084,0.02550000,0.02550000,1.00000000,0.98672000
onemax,star_undirected,11,0.02358694,0.02395360,0.02388145,0.02388145,0.02950000,0.02950000,1.00000000,0.98788000
onemax,star_undirected,12,0.02167184,0.02202960,0.02195920,0.02195920,0.02200000,0.02200000,1.00000000,0.98888000
onemax,star_undirected,13,0.02646041,0.02677520,0.02671325,0.02671325,0.02800000,0.02800000,1.00000000,0.98644000
onemax,star_undirected,14,0.02519184,0.02554320,0.02547406,0.02547406,0.02700000,0.02700000,1.00000000,0.98704000
onemax,star_undirected,15,0.02339755,0.02362320,0.02357880,0.02357880,0.02000000,0.02000000,1.00000000,0.98804000
onemax,star_undirected,16,0.02096000,0.02122240,0.02117076,0.02117076,0.02200000,0.02200000,1.00000000,0.98928000
onemax,star_undirected,17,0.02362939,0.02381280,0.02377671,0.02377671,0.03100000,0.03100000,1.00000000,0.98796000
onemax,star_undirected,18,0.01994776,0.02012320,0.02008867,0.02008867,0.01350000,0.01350000,1.00000000,0.98984000
